hotelcode,min,max,Diff_Min,Diff_Max,Score
1454,82.57,210.28,0.068,0.077,0.07
1456,116.36,657.84,0.373,1.722,1.05
1458,136.55,224.41,0.553,0.128,0.34
1483,126.78,261.66,0.464,0.265,0.36
1504,112.52,310.43,0.336,0.444,0.39
1506,63.29,162.34,0.107,0.102,0.10
1509,107.21,231.07,0.291,0.153,0.22
1520,159.74,249.43,0.760,0.222,0.49
1534,75.35,75.35,0.002,0.433,0.22
1549,79.88,143.61,0.043,0.176,0.11
1605,209.95,347.4,1.205,0.597,0.90
1706,186.49,413.24,0.984,0.838,0.91
1786,113.95,2556.38,0.343,7.734,4.04
1795,85.92,85.92,0.096,0.344,0.22
1803,121.37,137.07,0.410,0.176,0.29
1830,60.45,125.58,0.131,0.217,0.17
1854,115.67,333.53,0.362,0.483,0.42
1908,64.66,124.58,0.094,0.222,0.16
1928,65.21,149.94,0.089,0.137,0.11
1964,105.19,407.53,0.272,0.740,0.51
1999,53.54,176.82,0.197,0.045,0.12
2016,151.87,229.81,0.696,0.137,0.42
2057,42.76,126.71,0.296,0.219,0.26
2062,81.11,253.16,0.055,0.219,0.14
2076,126.75,316.51,0.473,0.439,0.46
2095,95.52,246.14,0.187,0.195,0.19
2145,85.39,346.6,0.095,0.542,0.32
2165,63.98,142.06,0.103,0.167,0.13
2202,93.93,342.75,0.175,0.531,0.35
2243,78.12,169.79,0.028,0.070,0.05
2248,90.42,246.35,0.143,0.198,0.17
2301,57.44,461.23,0.166,0.943,0.55
2352,58.07,86.76,0.161,0.361,0.26
2385,67.58,189.56,0.071,0.001,0.04
2398,47.31,148.88,0.265,0.145,0.21
2409,343.6,470.31,2.494,0.985,1.74
2464,87.35,277.58,0.114,0.308,0.21
2474,43.35,6436.69,0.298,17.412,8.85
2526,244.2,702.24,1.562,1.412,1.49
2579,89.35,211.82,0.132,0.061,0.10
2644,69.32,117.09,0.054,0.203,0.13
2685,92.08,686.35,0.158,1.371,0.76
2698,76.35,246.14,0.012,0.156,0.08
2718,74,575.5,0.010,1.062,0.54
2756,67.58,135.88,0.071,0.150,0.11
2766,100.53,366.95,0.239,0.491,0.37
2883,78.14,162.61,0.029,0.076,0.05
2898,92.02,155.95,0.160,0.095,0.13
2962,168.87,316.52,0.881,0.356,0.62
2993,90.23,120.64,0.142,0.196,0.17
3002,76.03,137.27,0.009,0.150,0.08
3039,225.14,708.37,1.400,1.461,1.43
3048,90.72,129.59,0.146,0.171,0.16
3050,85.81,163.83,0.100,0.074,0.09
3061,104.79,452.3,0.278,0.746,0.51
3125,40.19,352.8,0.329,0.463,0.40
3133,86.92,153.55,0.112,0.104,0.11
3147,62.38,221.52,0.121,0.091,0.11
3156,38.8,93.98,0.346,0.277,0.31
3199,112.99,1050.67,0.361,2.440,1.40
3268,77.93,261.87,0.027,0.205,0.12
3279,129.34,135.17,0.517,0.156,0.34
3321,68.97,114.18,0.059,0.218,0.14
3330,45.83,120.38,0.281,0.201,0.24
3473,228.08,495.22,1.455,0.880,1.17
3547,103.58,195.54,0.271,0.016,0.14
3603,65.6,94.88,0.091,0.277,0.18
3627,76.11,225.46,0.010,0.104,0.06
3654,65.51,182.22,0.092,0.022,0.06
3689,45.21,142.66,0.288,0.139,0.21
3690,84.02,198.42,0.086,0.025,0.06
3698,77.12,95.67,0.020,0.280,0.15
3780,68.8,214.08,0.061,0.072,0.07
3817,46.27,105.48,0.281,0.253,0.27
3836,66.21,126.19,0.087,0.192,0.14
3924,57.72,606.82,0.171,1.250,0.71
4029,85.66,129.48,0.104,0.182,0.14
4035,115.71,287.32,0.399,0.294,0.35
4050,121.17,225.05,0.452,0.106,0.28
4068,207.96,248.15,1.292,0.177,0.73
4099,172.35,697.52,0.941,1.525,1.23
4153,74.76,135.94,0.003,0.163,0.08
4192,138.33,300.94,0.611,0.335,0.47
4247,123.23,296.82,0.465,0.323,0.39
4282,190.07,295.66,1.103,0.320,0.71
4285,56.26,163.07,0.181,0.081,0.13
4289,72.3,112.58,0.027,0.236,0.13
4298,142.55,191.19,0.649,0.004,0.33
4345,78.57,107.19,0.033,0.254,0.14
4350,190.61,302.82,1.106,0.348,0.73
4367,83.4,118.78,0.080,0.220,0.15
4394,110.87,570.2,0.343,1.170,0.76
4429,46.57,154.17,0.275,0.110,0.19
4432,99.46,975.26,0.235,2.391,1.31
4486,70.33,80.37,0.046,0.335,0.19
4533,100.08,253.17,0.241,0.194,0.22
4556,59.12,128.98,0.155,0.187,0.17
4606,119.23,420.94,0.427,0.710,0.57
4623,65.99,91.33,0.088,0.304,0.20
4679,131.32,213.23,0.544,0.072,0.31
4731,96.46,105.58,0.207,0.262,0.23
4770,52.24,109.5,0.222,0.251,0.24
4837,47.91,155.72,0.265,0.107,0.19
4900,73.6,195.64,0.015,0.018,0.02
4926,202.62,535.24,1.238,1.080,1.16
5009,49.87,211.18,0.246,0.067,0.16
5036,109.4,182.34,0.334,0.024,0.18
5081,137.27,174.23,0.604,0.049,0.33
5135,192.07,373.94,1.130,0.580,0.85
5182,33.26,105.59,0.406,0.267,0.34
5186,113.52,255.18,0.373,0.207,0.29
5211,174.75,255.18,0.962,0.207,0.58
5334,190.07,285.1,1.104,0.302,0.70
5344,551.99,2602.85,4.459,7.322,5.89
5364,74.97,109.82,0.001,0.244,0.12
5485,102.48,144.67,0.257,0.138,0.20
5511,30.85,82.38,0.416,0.330,0.37
5525,104.48,200.93,0.277,0.034,0.16
5532,184.78,348.45,1.028,0.488,0.76
5553,163.96,203.24,0.830,0.041,0.44
5623,176.34,355.67,0.942,0.511,0.73
5626,107.18,253.42,0.298,0.196,0.25
5633,95.7,255.55,0.192,0.203,0.20
5663,73.61,196.84,0.014,0.022,0.02
5729,44.25,105.48,0.289,0.263,0.28
5810,253.8,617.42,1.659,1.323,1.49
5820,147.03,405.47,0.666,0.666,0.67
5822,122.68,214.2,0.440,0.075,0.26
5828,80.37,185.85,0.049,0.013,0.03
5841,81.78,190.88,0.062,0.003,0.03
5876,70.33,210.13,0.044,0.063,0.05
5912,76.24,142.55,0.011,0.148,0.08
6058,80.98,394.51,0.055,0.639,0.35
6081,136.2,1785.47,0.569,4.857,2.71
6090,74.97,138.33,0.001,0.157,0.08
6166,88.8,148.88,0.128,0.126,0.13
6177,56.58,1243.94,0.173,3.180,1.68
6194,305.59,575.96,2.137,1.160,1.65
6196,164.35,273.48,0.825,0.251,0.54
6248,71.81,120.38,0.030,0.210,0.12
6255,122.89,442.04,0.442,0.760,0.60
6287,98.2,312.98,0.214,0.371,0.29
6288,61.75,142.54,0.124,0.143,0.13
6447,69.32,147.68,0.054,0.128,0.09
6508,47.93,83.09,0.253,0.325,0.29
6538,61.52,129.98,0.127,0.183,0.15
6551,145.39,145.39,0.656,0.136,0.40
6596,36.62,76.86,0.360,0.347,0.35
6670,58.03,134.62,0.160,0.170,0.17
6692,75.01,130.6,0.001,0.183,0.09
6711,88.81,208.19,0.129,0.057,0.09
6723,91.87,168.78,0.158,0.066,0.11
6759,99.25,356.82,0.227,0.518,0.37
6767,92.73,222.64,0.166,0.102,0.13
6825,104.48,236.09,0.277,0.144,0.21
7046,39.7,70.97,0.335,0.372,0.35
7063,75.18,171.32,0.001,0.058,0.03
7117,88.7,198.66,0.129,0.028,0.08
7173,112.52,247.36,0.354,0.181,0.27
7179,36.21,86.33,0.369,0.326,0.35
7181,78.76,453.09,0.035,0.828,0.43
7182,58.27,153.71,0.160,0.114,0.14
7207,69.09,184.63,0.057,0.017,0.04
7225,51.81,121.73,0.223,0.216,0.22
7251,56.8,112.58,0.176,0.246,0.21
7277,110.33,143.15,0.338,0.149,0.24
7298,52.49,75.35,0.217,0.366,0.29
7327,89.41,294.35,0.138,0.334,0.24
7332,71.8,253.72,0.032,0.204,0.12
7349,70.87,230.94,0.041,0.132,0.09
7359,329.52,506.33,2.429,1.012,1.72
7386,65.01,262.36,0.097,0.232,0.16
7411,54.19,65.83,0.200,0.398,0.30
7418,89.75,147.78,0.141,0.136,0.14
7453,62.38,151.7,0.122,0.123,0.12
7488,163.67,495.23,0.849,0.983,0.92
7502,68.94,140.62,0.059,0.159,0.11
7556,70.17,136.42,0.047,0.173,0.11
7638,41.99,119.55,0.319,0.228,0.27
7645,142.56,164.66,0.649,0.082,0.37
7673,141.67,153.67,0.640,0.118,0.38
7740,87.91,182.84,0.123,0.023,0.07
7763,176.32,307.42,0.970,0.384,0.68
7856,54.64,111.93,0.197,0.255,0.23
7943,33.86,72.02,0.397,0.387,0.39
7950,56.19,95.53,0.183,0.311,0.25
7975,881.48,1055.92,7.540,2.821,5.18
7991,88.86,340.59,0.129,0.491,0.31
8029,90.23,264.08,0.142,0.242,0.19
8042,121.64,214.36,0.436,0.080,0.26
8074,80.98,228.83,0.055,0.127,0.09
8137,105.91,365.93,0.289,0.575,0.43
8252,163.55,263.51,0.827,0.240,0.53
8306,81.66,170.9,0.061,0.062,0.06
8385,66.3,72.86,0.082,0.384,0.23
8394,74.97,231,0.001,0.135,0.07
8410,190.03,219.99,1.075,0.099,0.59
8414,41.18,123.54,0.318,0.219,0.27
8588,93.27,152.99,0.170,0.122,0.15
8599,171.79,506.33,0.905,1.043,0.97
8634,182.68,791.94,1.004,1.971,1.49
8636,105.22,180.69,0.281,0.030,0.16
8644,68.41,189.41,0.063,0.002,0.03
8702,125.58,386.78,0.471,0.646,0.56
8729,277.71,685.29,1.880,1.617,1.75
8753,130.93,222.8,0.518,0.108,0.31
8937,187.58,473.94,1.040,0.926,0.98
8988,41.05,67.31,0.316,0.401,0.36
9047,236.79,639.35,1.491,1.464,1.48
9061,71.24,148.91,0.036,0.134,0.08
9199,38.68,89.44,0.337,0.329,0.33
9271,175.81,340.04,0.930,0.491,0.71
9289,128.83,289.32,0.496,0.325,0.41
9347,120.18,345.47,0.416,0.509,0.46
9387,93.98,205.9,0.174,0.052,0.11
9410,66.52,137.42,0.079,0.172,0.13
9425,40.13,127.39,0.324,0.205,0.26
9427,125.66,239.17,0.468,0.162,0.32
9451,74.97,232.3,0.001,0.140,0.07
11019,66.69,193.47,0.078,0.012,0.04
11034,166.31,247.09,0.845,0.189,0.52
11044,108.97,564.62,0.314,1.233,0.77
11045,237.58,778.24,1.499,1.924,1.71
11054,266.75,399.14,1.758,0.684,1.22
11058,238.11,486.57,1.489,0.967,1.23
11062,176.95,516.35,0.928,1.062,0.99
11079,89.86,322.88,0.135,0.432,0.28
11093,165.76,266.23,0.825,0.248,0.54
11104,212.98,412.9,1.251,0.724,0.99
11117,116.23,179.59,0.373,0.033,0.20
11154,106.95,164.22,0.289,0.084,0.19
11223,56.46,938.34,0.169,2.421,1.30
11250,47.15,197.91,0.255,0.026,0.14
11281,55.25,157.22,0.181,0.106,0.14
11283,90.42,576.66,0.140,1.251,0.70
11295,157.97,253.17,0.755,0.205,0.48
11314,147.64,359.65,0.660,0.549,0.60
11324,89.66,182.44,0.133,0.024,0.08
11348,102.6,308.84,0.251,0.385,0.32
11369,84,196.91,0.081,0.023,0.05
11389,108.44,228.04,0.304,0.124,0.21
11423,57.33,277.27,0.162,0.284,0.22
11435,90.42,160.74,0.140,0.095,0.12
11449,147.32,261.79,0.659,0.234,0.45
11511,78.17,124.21,0.028,0.214,0.12
11512,65.11,7293.06,0.091,21.485,10.79
11522,60.28,192.89,0.136,0.009,0.07
11538,71.27,180.56,0.035,0.028,0.03
11544,70.91,151,0.038,0.118,0.08
11546,67.32,369.26,0.072,0.545,0.31
11552,109.82,165.78,0.319,0.073,0.20
11560,121.35,371.42,0.425,0.552,0.49
11561,60.82,176.13,0.131,0.042,0.09
11567,152.05,268.21,0.708,0.239,0.47
11570,71.8,122.49,0.030,0.206,0.12
11571,83.47,303.23,0.077,0.346,0.21
11574,80.24,239.7,0.047,0.152,0.10
11582,59.87,209.54,0.141,0.060,0.10
11591,135.16,236.53,0.554,0.143,0.35
11600,291.7,482.13,1.987,0.894,1.44
11621,80.77,269.26,0.052,0.243,0.15
42465,62.08,127.43,0.120,0.192,0.16
42468,60.87,121.43,0.131,0.210,0.17
42475,105.41,241.04,0.279,0.157,0.22
42486,68.71,138.63,0.059,0.158,0.11
42507,53.05,114.73,0.204,0.232,0.22
42508,73.91,289.32,0.011,0.307,0.16
42536,59.82,104.15,0.141,0.265,0.20
42539,102.4,178.19,0.253,0.036,0.14
42540,54.75,115.41,0.189,0.231,0.21
42547,44.35,129.31,0.286,0.189,0.24
42559,146.03,342.06,0.658,0.474,0.57
42597,106.48,212.75,0.291,0.071,0.18
42619,130.44,515.49,0.513,1.013,0.76
42627,91.42,209.97,0.151,0.063,0.11
42631,101.61,205.8,0.246,0.050,0.15
42644,62.75,150.52,0.115,0.123,0.12
42667,45.21,1428.05,0.278,3.825,2.05
42670,155,261.72,0.743,0.222,0.48
42707,209.58,517.38,1.247,1.010,1.13
42716,48.02,110.51,0.251,0.245,0.25
42735,36.27,101.17,0.361,0.275,0.32
42826,137.65,230.31,0.582,0.125,0.35
42917,82.48,159.74,0.069,0.094,0.08
42956,54.32,124.73,0.194,0.203,0.20
42980,99.49,969.59,0.227,2.411,1.32
42988,143.96,600.77,0.641,1.267,0.95
43109,152.76,199.92,0.722,0.031,0.38
43119,110.58,265.82,0.330,0.235,0.28
43128,40.02,77.16,0.327,0.349,0.34
43131,66.31,72.33,0.082,0.365,0.22
43195,171.79,227.05,0.900,0.115,0.51
43198,124.59,305.16,0.461,0.358,0.41
43252,141.6,558.48,0.618,1.143,0.88
43257,38.07,425.03,0.345,0.728,0.54
43304,85.53,250.98,0.097,0.189,0.14
43311,45.21,90.57,0.279,0.308,0.29
43340,93.9,298.15,0.176,0.336,0.26
43352,110.35,303.93,0.329,0.354,0.34
43358,75.08,104.54,0.000,0.266,0.13
43369,89.75,155.22,0.137,0.108,0.12
44627,51.23,60.28,0.224,0.405,0.31
44683,58.27,114.53,0.158,0.236,0.20
44685,94.29,273.56,0.180,0.262,0.22
44701,83.38,196.91,0.078,0.022,0.05
44706,40.18,119.55,0.328,0.221,0.27
44707,45.4,299.31,0.280,0.344,0.31
44710,98.55,167.27,0.221,0.071,0.15
44715,32.73,146.77,0.400,0.136,0.27
44716,70.9,225.04,0.040,0.111,0.08
44717,86.58,130.93,0.109,0.186,0.15
44721,58.39,129.88,0.158,0.190,0.17
44726,85.53,151.52,0.099,0.122,0.11
44730,36.8,76.18,0.363,0.361,0.36
44731,97.15,175.28,0.209,0.046,0.13
44738,46.57,51.74,0.271,0.440,0.36
44744,58.34,234.41,0.159,0.142,0.15
44745,71.27,121.43,0.036,0.219,0.13
44751,73.91,167.89,0.011,0.070,0.04
44753,74.13,159.24,0.009,0.098,0.05
44760,90.22,151.04,0.144,0.125,0.13
44763,42.76,95.03,0.309,0.305,0.31
44764,83.41,172.11,0.079,0.057,0.07
44765,84.48,101.34,0.090,0.285,0.19
44768,61.24,130.93,0.133,0.190,0.16
44769,75.08,138.33,0.000,0.167,0.08
44773,93.03,225.96,0.172,0.117,0.14
44784,58.92,411.81,0.155,0.717,0.44
44786,82.57,179.42,0.072,0.034,0.05
44789,88.7,125.65,0.131,0.208,0.17
44801,70.01,209.07,0.049,0.062,0.06
44802,61.77,268.21,0.128,0.254,0.19
44808,68.64,105.59,0.062,0.274,0.17
44812,55.97,185.85,0.185,0.013,0.10
44825,73.91,153.1,0.011,0.120,0.07
44828,90.28,161.56,0.147,0.092,0.12
44969,177.23,277.32,0.985,0.285,0.63
45005,85.76,188.27,0.103,0.005,0.05
45032,52.8,68.64,0.215,0.397,0.31
45041,78.14,87.63,0.029,0.335,0.18
45042,103.91,567.12,0.278,1.234,0.76
45046,285.55,346.13,2.024,0.511,1.27
45056,135.63,349.61,0.582,0.522,0.55
45059,68.31,200.02,0.065,0.033,0.05
45070,42.87,83.63,0.311,0.348,0.33
47814,68.63,175.71,0.062,0.047,0.05
47816,90.99,185.86,0.153,0.013,0.08
47890,123.54,248.14,0.467,0.191,0.33
47902,70.91,130.93,0.040,0.194,0.12
47907,47.16,128.83,0.270,0.201,0.24
47913,44.35,110.34,0.298,0.263,0.28
47919,110.87,153.1,0.346,0.122,0.23
47930,73.91,131.99,0.012,0.192,0.10
47939,79.88,178.45,0.046,0.038,0.04
47955,200.93,1690.79,1.216,4.917,3.07
47959,95.03,491,0.193,0.985,0.59
47965,81.31,147.71,0.060,0.138,0.10
47983,190.07,316.78,1.110,0.416,0.76
47996,122.59,231.25,0.458,0.136,0.30
48001,58.07,93.98,0.164,0.315,0.24
48002,131.99,520.39,0.549,1.083,0.82
48003,61.24,277.08,0.134,0.286,0.21
48092,84.48,195.35,0.091,0.018,0.05
48101,60.94,128.29,0.137,0.202,0.17
48115,58.34,220.69,0.162,0.101,0.13
48116,77.85,211.07,0.027,0.070,0.05
48125,114.64,225.15,0.383,0.116,0.25
48147,437.9,673.9,3.488,1.589,2.54
48158,57.02,156.28,0.174,0.110,0.14
48160,39.18,99.46,0.346,0.298,0.32
48171,93.55,230.2,0.178,0.133,0.16
48179,45.2,173.18,0.289,0.055,0.17
48186,110.13,200.63,0.338,0.035,0.19
48188,43.09,64.64,0.309,0.414,0.36
48197,106.65,229.13,0.305,0.130,0.22
48203,94.08,109.82,0.183,0.265,0.22
48206,288.98,424.46,2.059,0.776,1.42
48208,158.67,678.84,0.803,1.613,1.21
48210,140.91,321.34,0.632,0.434,0.53
48223,201.89,434.31,1.215,0.806,1.01
48233,63.36,84.48,0.113,0.348,0.23
48259,69.48,156.28,0.054,0.111,0.08
48274,115.1,189.01,0.384,0.003,0.19
48296,59.13,138.51,0.153,0.170,0.16
48322,83.42,173.18,0.080,0.055,0.07
48325,61.77,178.45,0.128,0.038,0.08
48728,55.59,186.9,0.188,0.010,0.10
48730,56.07,92.91,0.183,0.323,0.25
48731,193.58,273.48,1.140,0.278,0.71
48741,83.41,93.98,0.080,0.320,0.20
48760,198.52,373.43,1.186,0.611,0.90
48776,54.84,133.23,0.195,0.189,0.19
48803,120.55,202.94,0.437,0.044,0.24
48812,110.87,252.37,0.344,0.209,0.28
48818,67.31,139.79,0.075,0.167,0.12
48822,84.39,143.66,0.089,0.155,0.12
48823,93.98,161.56,0.182,0.095,0.14
48829,81.31,146.77,0.060,0.145,0.10
49361,100.76,150.58,0.247,0.132,0.19
49364,80.3,282.86,0.050,0.312,0.18
49397,178.47,399.44,0.995,0.703,0.85
49421,134.59,313.46,0.572,0.415,0.49
49441,156.88,277.82,0.785,0.295,0.54
49448,70.23,115.67,0.047,0.249,0.15
49531,72.33,139.64,0.027,0.169,0.10
49541,185.78,835.45,1.063,2.163,1.61
49553,50.64,141.65,0.235,0.162,0.20
49565,281.3,2190.1,1.975,6.618,4.30
49586,44.45,121.5,0.294,0.227,0.26
49626,115.93,199.92,0.391,0.033,0.21
49668,68.64,100.32,0.062,0.297,0.18
49676,180.93,332.88,1.014,0.475,0.74
49677,151.1,379.08,0.727,0.628,0.68
49678,168.79,332.88,0.895,0.474,0.68
49683,144.5,391.49,0.663,0.668,0.67
49684,65.78,164.72,0.089,0.083,0.09
50409,125.58,211.98,0.482,0.073,0.28
50416,106.49,286.32,0.300,0.320,0.31
50418,160.74,241.11,0.817,0.170,0.49
50419,122.1,169.89,0.448,0.066,0.26
50434,77.24,304.35,0.020,0.381,0.20
50435,117.54,259.2,0.405,0.231,0.32
50439,135.63,185.85,0.577,0.013,0.30
50442,70.33,160.74,0.046,0.097,0.07
50457,79.65,255.85,0.043,0.220,0.13
50460,139.64,288.33,0.616,0.328,0.47
50463,76.35,178.83,0.012,0.037,0.02
50498,82.38,296.36,0.070,0.355,0.21
50506,67.31,199.92,0.074,0.034,0.05
50539,298.38,626.89,2.125,1.456,1.79
50565,86.12,204.5,0.105,0.049,0.08
50582,95.69,211.72,0.196,0.073,0.13
50586,64.97,160.08,0.097,0.099,0.10
50606,82.62,205.95,0.072,0.054,0.06
50607,159.27,306.45,0.802,0.389,0.60
50657,54.83,128.82,0.193,0.204,0.20
50667,76.03,136.21,0.009,0.180,0.09
50674,200.62,469.88,1.195,0.936,1.07
50679,49.42,1544.88,0.245,4.493,2.37
50703,101.26,192.85,0.249,0.010,0.13
50710,52.48,101.84,0.216,0.293,0.25
50749,112.53,162.9,0.357,0.090,0.22
50752,124.7,335.08,0.473,0.483,0.48
50753,108.59,222.03,0.319,0.107,0.21
50766,71.98,174.38,0.030,0.052,0.04
50828,101.8,207.96,0.255,0.060,0.16
50861,85.39,211.59,0.098,0.072,0.09
50890,107.45,111.32,0.309,0.262,0.29
50967,162.61,315.72,0.834,0.420,0.63
50974,54.9,204.85,0.193,0.050,0.12
50978,101.04,215.86,0.248,0.087,0.17
50981,83.66,319.47,0.082,0.433,0.26
50990,62.09,329.45,0.124,0.466,0.30
51021,128.33,321.25,0.509,0.439,0.47
51035,72.45,252.37,0.025,0.209,0.12
51041,69.91,190.07,0.050,0.001,0.03
51044,51.74,156.27,0.224,0.112,0.17
51072,36.21,124.59,0.373,0.219,0.30
51074,78.14,140.44,0.029,0.166,0.10
51084,68.67,169.9,0.062,0.067,0.06
51086,99.68,303.05,0.236,0.380,0.31
51106,65.57,131.99,0.092,0.195,0.14
51112,88.7,161.56,0.131,0.095,0.11
51116,70.22,157.15,0.047,0.110,0.08
51122,69.27,119.8,0.056,0.236,0.15
51137,70.33,120.55,0.046,0.234,0.14
51139,56.45,134.63,0.180,0.187,0.18
51147,52.95,95.8,0.214,0.318,0.27
51150,106.81,162.35,0.306,0.093,0.20
51151,35,60.72,0.387,0.438,0.41
51164,36.96,147.83,0.369,0.143,0.26
51170,41.06,58.41,0.330,0.447,0.39
51172,95.03,309.81,0.193,0.408,0.30
51192,160.84,310.13,0.829,0.409,0.62
51223,111,203.49,0.347,0.046,0.20
51235,75.94,76.91,0.008,0.385,0.20
51242,72.86,115.1,0.022,0.255,0.14
51251,490.37,776.1,3.992,1.992,2.99
51267,88.31,144.59,0.127,0.154,0.14
51272,59.87,209.61,0.147,0.067,0.11
51276,62.3,170.01,0.123,0.068,0.10
51279,98.8,175.85,0.228,0.048,0.14
51300,43.24,66.31,0.307,0.422,0.36
51541,60.28,164.76,0.143,0.086,0.11
51545,37.02,72.11,0.368,0.403,0.39
51565,36.96,95.03,0.369,0.325,0.35
51571,125.66,210.12,0.489,0.069,0.28
51576,107.39,184.78,0.312,0.017,0.16
51577,38.01,244.97,0.359,0.189,0.27
51632,108.5,134.62,0.323,0.190,0.26
51639,56.14,86.38,0.184,0.356,0.27
51657,46.78,146.5,0.275,0.149,0.21
51670,98,12713.2,0.222,39.938,20.08
51675,51.74,109.82,0.227,0.256,0.24
51678,88.7,152.05,0.132,0.121,0.13
51681,72.86,109.82,0.022,0.256,0.14
51685,58.07,116.16,0.166,0.236,0.20
59258,57.21,99.46,0.174,0.290,0.23
59547,31.88,145.41,0.421,0.143,0.28
59704,53.47,61.69,0.211,0.412,0.31
59709,31.04,70.66,0.430,0.384,0.41
59917,69.4,159.06,0.056,0.099,0.08
59932,145.02,298.47,0.683,0.350,0.52
59935,89.86,170.52,0.144,0.062,0.10
59941,102.24,205.53,0.265,0.051,0.16
59961,56.98,118.77,0.177,0.230,0.20
59965,112.58,250.97,0.366,0.197,0.28
59969,68.78,94.64,0.062,0.308,0.19
60022,60.53,120.38,0.143,0.225,0.18
60025,538.81,1345.7,4.502,3.722,4.11
60028,65.57,157.34,0.093,0.105,0.10
60029,126.67,262.92,0.501,0.236,0.37
60034,66.79,244.18,0.081,0.175,0.13
60035,92.48,92.48,0.169,0.315,0.24
60043,135.16,211.19,0.583,0.069,0.33
60048,83.63,212.56,0.083,0.073,0.08
60049,69.31,227.03,0.056,0.120,0.09
60055,68.64,177.33,0.063,0.041,0.05
60059,91.38,246.03,0.158,0.182,0.17
60068,32.1,99.3,0.419,0.294,0.36
60074,84.58,146.77,0.092,0.140,0.12
60075,57.02,125.54,0.176,0.209,0.19
60079,100.32,142.55,0.246,0.154,0.20
60086,95.03,174.64,0.194,0.050,0.12
60092,84.48,197.45,0.092,0.025,0.06
60096,80.78,167.09,0.055,0.074,0.06
60102,1054.87,1055.92,9.410,2.810,6.11
60103,42.94,128.68,0.309,0.199,0.25
60115,52.93,79.4,0.213,0.359,0.29
60116,106.44,195.35,0.302,0.018,0.16
60119,100.32,147.83,0.243,0.137,0.19
60120,91.02,184.67,0.153,0.017,0.09
60130,168.11,373.8,0.894,0.599,0.75
60132,58.34,126.71,0.161,0.206,0.18
60134,136.21,237.56,0.588,0.156,0.37
60151,60.19,137.27,0.143,0.172,0.16
60155,48.57,239.69,0.256,0.163,0.21
60159,83.41,199.57,0.080,0.032,0.06
60167,36.96,65.47,0.368,0.407,0.39
60180,52.27,147.83,0.220,0.138,0.18
60185,46.46,100.32,0.277,0.294,0.29
60186,63.36,129.88,0.114,0.197,0.16
60190,43.3,185.31,0.308,0.015,0.16
60191,52.27,96.08,0.221,0.309,0.26
60192,103.9,174.23,0.279,0.052,0.17
60194,88.7,210.13,0.132,0.067,0.10
60199,114.04,230.2,0.377,0.133,0.26
60203,205.9,332.62,1.265,0.470,0.87
60251,45.51,69.32,0.286,0.398,0.34
60256,35.77,89.5,0.381,0.332,0.36
60485,95.81,127.24,0.201,0.207,0.20
60489,50.18,410.61,0.242,0.729,0.49
60491,81.11,214.94,0.058,0.083,0.07
60496,86.58,145.67,0.111,0.146,0.13
60529,84.23,181.84,0.089,0.027,0.06
60547,65.3,145.67,0.095,0.146,0.12
60583,167.78,314.06,0.900,0.411,0.66
60595,90.42,780.66,0.149,1.952,1.05
60639,80.37,148.69,0.051,0.136,0.09
60644,221.02,374.14,1.414,0.609,1.01
60692,54.25,105.48,0.202,0.279,0.24
60707,98.45,282.3,0.227,0.306,0.27
